season,rows,mae,rmse,spearman
2016-17,7450,8.661611,11.178593,0.344320
2017-18,7714,8.601115,11.095743,0.328333
2018-19,7511,8.428305,10.839647,0.378057
2019-20,7525,8.446379,10.974746,0.389552
2020-21,7548,9.017356,11.682556,0.351450
2021-22,7403,8.907335,11.613287,0.331541
2022-23,7422,8.808407,11.342183,0.351693
2023-24,7468,8.756695,11.455060,0.357960
2024-25,7538,8.336163,11.003015,0.414753
2025-26,7514,9.239686,11.810741,0.294832
