overall_rank,name,position,projected_points,uncertainty,player_id,code,team_name,status,news,prior_season,prior_points,prior_minutes,expected_minutes_season,projected_points_next_6,reliability,fixture_difficulty_next6,replacement_points,value_over_replacement,projection_method,promoted_team,new_to_history,manual_review
75,Nikola Milenković,DEF,112.9186,18.0670,471,227444,Nott'm Forest,a,,2025-26,119.0000,3375.0000,3092.6000,17.8292,1.0000,3.0000,115.0131,-2.0945,2025/26 empirical-Bayes rate and minutes,False,False,False
76,Robert Lynch Sánchez,GK,112.1636,17.9462,140,215059,Chelsea,a,,2025-26,113.0000,3040.0000,3003.5000,17.7100,1.0000,3.0000,119.5420,-7.3784,2025/26 empirical-Bayes rate and minutes,False,False,False
77,Igor Jesus Maciel da Cruz,FWD,111.9383,17.9101,491,482973,Nott'm Forest,a,,2025-26,114.0000,2293.0000,2203.7000,17.6745,1.0000,3.0000,102.1080,9.8303,2025/26 empirical-Bayes rate and minutes,False,False,False
78,Ferdi Kadıoğlu,DEF,111.4731,17.8357,113,231416,Brighton,a,,2025-26,118.0000,3130.0000,2896.6000,17.6010,1.0000,3.0000,115.0131,-3.5400,2025/26 empirical-Bayes rate and minutes,False,False,False
79,Jean-Philippe Mateta,FWD,111.4629,17.8341,223,231747,Crystal Palace,a,,2025-26,114.0000,2210.0000,2137.3000,17.5994,1.0000,3.0000,102.1080,9.3549,2025/26 empirical-Bayes rate and minutes,False,False,False
80,Joachim Andersen,DEF,110.7876,31.0205,253,174874,Fulham,s,Suspended until 30 Aug,2025-26,123.0000,2882.0000,2698.2000,13.9023,0.7800,3.3333,115.0131,-4.2255,2025/26 empirical-Bayes rate and minutes,False,False,True
81,Matty Cash,DEF,110.3899,17.6624,32,199796,Aston Villa,a,,2025-26,117.0000,3016.0000,2805.4000,17.4300,1.0000,3.0000,115.0131,-4.6232,2025/26 empirical-Bayes rate and minutes,False,False,False
82,Yankuba Minteh,MID,110.1863,17.6298,122,592031,Brighton,a,,2025-26,117.0000,2389.0000,2270.8000,17.3978,1.0000,3.0000,125.4383,-15.2520,2025/26 empirical-Bayes rate and minutes,False,False,False
83,Jake O'Brien,DEF,109.9984,17.5997,232,512462,Everton,a,,2025-26,116.0000,3118.0000,2887.0000,17.4695,1.0000,2.8333,115.0131,-5.0147,2025/26 empirical-Bayes rate and minutes,False,False,False
84,Micky van de Ven,DEF,109.7547,17.5607,503,491279,Spurs,a,,2025-26,116.0000,3041.0000,2825.4000,17.3297,1.0000,3.0000,115.0131,-5.2584,2025/26 empirical-Bayes rate and minutes,False,False,False
85,Pedro Porro Sauceda,DEF,109.6120,17.5379,499,441164,Spurs,a,,2025-26,117.0000,2793.0000,2627.0000,17.3072,1.0000,3.0000,115.0131,-5.4011,2025/26 empirical-Bayes rate and minutes,False,False,False
86,Ismaïla Sarr,MID,108.9571,17.4331,208,232185,Crystal Palace,a,,2025-26,117.0000,2173.0000,2098.0000,17.2038,1.0000,3.0000,125.4383,-16.4812,2025/26 empirical-Bayes rate and minutes,False,False,False
87,Senne Lammens,GK,108.8860,17.4218,412,465247,Man Utd,a,,2025-26,109.0000,2880.0000,2875.5000,17.2928,1.0000,2.8333,119.5420,-10.6560,2025/26 empirical-Bayes rate and minutes,False,False,False
88,Lukás Hornícek,GK,108.6456,36.9395,567,470551,Newcastle,a,,,,,2864.4133,17.2546,0.0000,2.8333,119.5420,-10.8964,position and official-cost prior; manual review,False,True,True
89,William Saliba,DEF,108.2864,30.3202,6,462424,Arsenal,i,Back injury - Unknown return date,2025-26,137.0000,2614.0000,2483.8000,13.6006,0.7000,3.0000,115.0131,-6.7267,2025/26 empirical-Bayes rate and minutes,False,False,True
90,Michael Kayode,DEF,108.2546,17.3207,88,607464,Brentford,a,,2025-26,113.0000,3258.0000,2999.0000,16.9931,1.0000,3.1667,115.0131,-6.7585,2025/26 empirical-Bayes rate and minutes,False,False,False
91,Jérémy Doku,MID,108.1518,17.3043,400,248875,Man City,a,,2025-26,120.0000,1773.0000,1778.0000,17.0766,0.9850,3.0000,125.4383,-17.2866,2025/26 empirical-Bayes rate and minutes,False,False,False
92,Luke Shaw,DEF,108.1456,17.3033,423,106760,Man Utd,a,,2025-26,113.0000,3220.0000,2968.6000,17.1752,1.0000,2.8333,115.0131,-6.8675,2025/26 empirical-Bayes rate and minutes,False,False,False
93,Moisés Caicedo Corozo,MID,107.1946,17.1511,159,486672,Chelsea,a,,2025-26,110.0000,2796.0000,2596.4000,16.9255,1.0000,3.0000,125.4383,-18.2437,2025/26 empirical-Bayes rate and minutes,False,False,False
94,Sepp van den Berg,DEF,106.6503,17.0640,85,444765,Brentford,a,,2025-26,113.0000,2761.0000,2601.4000,16.7413,1.0000,3.1667,115.0131,-8.3628,2025/26 empirical-Bayes rate and minutes,False,False,False
95,Keane Lewis-Potter,MID,106.2152,16.9944,86,249231,Brentford,a,,2025-26,115.0000,1960.0000,1927.6000,16.6730,1.0000,3.1667,125.4383,-19.2231,2025/26 empirical-Bayes rate and minutes,False,False,False
96,Daniel Ballard,DEF,106.0069,16.9611,532,223827,Sunderland,a,,2025-26,116.0000,2144.0000,2107.8000,16.7379,1.0000,3.0000,115.0131,-9.0062,2025/26 empirical-Bayes rate and minutes,False,False,False
