overall_rank,name,position,projected_points,uncertainty,player_id,code,team_name,status,news,prior_season,prior_points,prior_minutes,expected_minutes_season,projected_points_next_6,reliability,fixture_difficulty_next6,replacement_points,value_over_replacement,projection_method,promoted_team,new_to_history,manual_review
166,Marco Palestra,DEF,84.0855,28.5891,152,620109,Chelsea,a,,,,,2040.3063,13.2767,0.0000,3.0000,115.0131,-30.9276,position and official-cost prior; manual review,False,True,True
167,Callum Hudson-Odoi,MID,83.7929,23.4620,482,209046,Nott'm Forest,d,Thigh injury - 75% chance of playing,2025-26,88.0000,1838.0000,1830.0000,12.1279,0.8800,3.0000,125.4383,-41.6454,2025/26 empirical-Bayes rate and minutes,False,False,True
168,Johan Manzambi,MID,83.2623,28.3092,53,614071,Aston Villa,a,,,,,1759.3683,13.1467,0.0000,3.0000,125.4383,-42.1760,position and official-cost prior; manual review,False,True,True
169,Bazoumana Touré,MID,83.2623,28.3092,461,611665,Newcastle,a,,,,,1759.3683,13.2234,0.0000,2.8333,125.4383,-42.1760,position and official-cost prior; manual review,False,True,True
170,Curtis Jones,MID,83.0956,13.2953,373,206915,Liverpool,a,,2025-26,81.0000,1923.0000,1898.0000,13.1969,1.0000,2.8333,125.4383,-42.3428,2025/26 empirical-Bayes rate and minutes,False,False,False
171,Emile Smith Rowe,MID,82.3452,13.1752,262,209289,Fulham,a,,2025-26,80.0000,1909.0000,1886.8000,12.8502,1.0000,3.3333,125.4383,-43.0931,2025/26 empirical-Bayes rate and minutes,False,False,False
172,Omari Hutchinson,MID,82.2427,13.1588,484,503301,Nott'm Forest,a,,2025-26,82.0000,1676.0000,1700.4000,12.9857,0.9311,3.0000,125.4383,-43.1956,2025/26 empirical-Bayes rate and minutes,False,False,False
173,Chemsdine Talbi,MID,82.0217,13.1235,549,549912,Sunderland,a,,2025-26,83.0000,1553.0000,1602.0000,12.9508,0.8628,3.0000,125.4383,-43.4166,2025/26 empirical-Bayes rate and minutes,False,False,False
174,Jacob Murphy,MID,81.7558,13.0809,457,114243,Newcastle,a,,2025-26,82.0000,1606.0000,1644.4000,12.9841,0.8922,2.8333,125.4383,-43.6825,2025/26 empirical-Bayes rate and minutes,False,False,False
175,Callum Wilson,FWD,81.4856,13.0377,108,75115,Brentford,a,,2025-26,80.0000,1234.0000,1356.5000,12.7911,0.6856,3.1667,102.1080,-20.6224,2025/26 empirical-Bayes rate and minutes,False,False,False
176,Yéremy Pino Santos,MID,81.1814,12.9890,211,488024,Crystal Palace,a,,2025-26,77.0000,2074.0000,2018.8000,12.8181,1.0000,3.0000,125.4383,-44.2569,2025/26 empirical-Bayes rate and minutes,False,False,False
177,Lewis Hall,DEF,80.5164,12.8826,449,487838,Newcastle,a,,2025-26,79.0000,2176.0000,2133.4000,12.7873,1.0000,2.8333,115.0131,-34.4967,2025/26 empirical-Bayes rate and minutes,False,False,False
178,Kenny Tete,DEF,80.1053,12.8168,256,167074,Fulham,a,,2025-26,81.0000,1791.0000,1825.4000,12.5006,0.9950,3.3333,115.0131,-34.9078,2025/26 empirical-Bayes rate and minutes,False,False,False
179,Murillo Costa dos Santos,DEF,79.7727,22.3364,472,575476,Nott'm Forest,d,Muscular injury - 75% chance of playing,2025-26,83.0000,2130.0000,2096.6000,11.5461,0.8800,3.0000,115.0131,-35.2404,2025/26 empirical-Bayes rate and minutes,False,False,True
180,Maxim De Cuyper,DEF,79.6657,12.7465,115,465730,Brighton,a,,2025-26,84.0000,1404.0000,1515.8000,12.5788,0.7800,3.0000,115.0131,-35.3474,2025/26 empirical-Bayes rate and minutes,False,False,False
181,Tyler Adams,MID,79.5253,12.7240,73,200785,Bournemouth,a,,2025-26,77.0000,1769.0000,1774.8000,12.2636,0.9828,3.6667,125.4383,-45.9130,2025/26 empirical-Bayes rate and minutes,False,False,False
182,Pascal Groß,MID,79.3362,12.6938,124,60307,Brighton,a,,2025-26,78.0000,1636.0000,1668.4000,12.5268,0.9089,3.0000,125.4383,-46.1021,2025/26 empirical-Bayes rate and minutes,False,False,False
183,Djed Spence,DEF,79.2953,12.6872,505,232859,Spurs,a,,2025-26,78.0000,2049.0000,2031.8000,12.5203,1.0000,3.0000,115.0131,-35.7178,2025/26 empirical-Bayes rate and minutes,False,False,False
184,Haji Wright,FWD,79.0965,34.8025,193,176412,Coventry City,a,,,,,1477.2000,12.4161,0.0000,3.1667,102.1080,-23.0114,position and official-cost prior; manual review,True,True,True
185,Emersonn Correia da Silva,FWD,79.0965,34.8025,316,543968,Ipswich Town,a,,,,,1477.2000,12.4889,0.0000,3.0000,102.1080,-23.0114,position and official-cost prior; manual review,True,True,True
186,Mathys Tel,MID,77.0195,12.3231,514,511499,Spurs,a,,2025-26,78.0000,1334.0000,1426.8000,12.1610,0.7411,3.0000,125.4383,-48.4188,2025/26 empirical-Bayes rate and minutes,False,False,False
187,Wilson Isidor,FWD,76.8284,12.2925,553,437505,Sunderland,a,,2025-26,74.0000,1148.0000,1287.7000,12.1308,0.6378,3.0000,102.1080,-25.2796,2025/26 empirical-Bayes rate and minutes,False,False,False
188,Kristoffer Ajer,DEF,76.7848,12.2856,87,191866,Brentford,a,,2025-26,76.0000,1805.0000,1836.6000,12.0532,1.0000,3.1667,115.0131,-38.2283,2025/26 empirical-Bayes rate and minutes,False,False,False
189,Jack Grealish,MID,76.7353,21.4859,238,114283,Man City,d,Foot injury - 75% chance of playing,2025-26,79.0000,1627.0000,1661.2000,11.1064,0.7954,3.0000,125.4383,-48.7030,2025/26 empirical-Bayes rate and minutes,False,False,True
190,António João Pereira de Albuquerque Tavares da Silva,DEF,76.4305,25.9864,566,483067,Bournemouth,a,,,,,1854.5601,11.7864,0.0000,3.6667,115.0131,-38.5826,position and official-cost prior; manual review,False,True,True
191,Michael Svoboda,DEF,76.4305,25.9864,120,454490,Brighton,a,,,,,1854.5601,12.0680,0.0000,3.0000,115.0131,-38.5826,position and official-cost prior; manual review,False,True,True
192,Tarik Muharemović,DEF,76.4305,25.9864,334,522047,Leeds,a,,,,,1854.5601,11.9976,0.0000,3.1667,115.0131,-38.5826,position and official-cost prior; manual review,False,True,True
193,Jeremy Jacquet,DEF,76.4305,25.9864,362,606702,Liverpool,a,,,,,1854.5601,12.1384,0.0000,2.8333,115.0131,-38.5826,position and official-cost prior; manual review,False,True,True
194,Reinildo Mandava,DEF,76.1822,12.1892,536,434399,Sunderland,a,,2025-26,74.0000,1966.0000,1965.4000,12.0288,1.0000,3.0000,115.0131,-38.8309,2025/26 empirical-Bayes rate and minutes,False,False,False
195,Kobbie Mainoo,MID,76.1562,12.1850,432,516895,Man Utd,a,,2025-26,73.0000,1653.0000,1682.0000,12.0948,0.9183,2.8333,125.4383,-49.2821,2025/26 empirical-Bayes rate and minutes,False,False,False
196,Joško Gvardiol,DEF,76.1291,12.1807,391,477424,Man City,a,,2025-26,79.0000,1370.0000,1488.6000,12.0204,0.7611,3.0000,115.0131,-38.8840,2025/26 empirical-Bayes rate and minutes,False,False,False
197,Karl Darlow,GK,75.5406,21.1514,325,59735,Man Utd,d,Unspecified injury - 75% chance of playing,2025-26,71.0000,1980.0000,2155.5000,10.9973,0.8800,2.8333,119.5420,-44.0014,2025/26 empirical-Bayes rate and minutes,False,False,True
198,Lukas Nmecha,FWD,75.3231,12.0517,347,174594,Leeds,a,,2025-26,73.0000,1065.0000,1221.3000,11.8237,0.5917,3.1667,102.1080,-26.7849,2025/26 empirical-Bayes rate and minutes,False,False,False
199,Vitaly Janelt,MID,75.2707,12.0433,98,204580,Brentford,a,,2025-26,74.0000,1434.0000,1506.8000,11.8155,0.7967,3.1667,125.4383,-50.1676,2025/26 empirical-Bayes rate and minutes,False,False,False
200,Joelinton Cássio Apolinário de Lira,MID,74.7424,20.9279,458,180974,Newcastle,d,Thigh injury - 75% chance of playing,2025-26,73.0000,1950.0000,1919.6000,10.8811,0.8800,2.8333,125.4383,-50.6959,2025/26 empirical-Bayes rate and minutes,False,False,True
201,Martin Ødegaard,MID,74.7058,11.9529,15,184029,Arsenal,a,,2025-26,74.0000,1363.0000,1450.0000,11.7957,0.7572,3.0000,125.4383,-50.7325,2025/26 empirical-Bayes rate and minutes,False,False,False
202,Gabriel Gudmundsson,DEF,74.3451,11.8952,331,243526,Leeds,a,,2025-26,68.0000,2637.0000,2502.2000,11.6702,1.0000,3.1667,115.0131,-40.6680,2025/26 empirical-Bayes rate and minutes,False,False,False
203,Mamadou Sangaré,MID,74.2406,25.2418,565,513545,Brentford,a,,,,,1568.7369,11.6538,0.0000,3.1667,125.4383,-51.1977,position and official-cost prior; manual review,False,True,True
204,Geovany Quenda,MID,74.2406,25.2418,164,593117,Chelsea,a,,,,,1568.7369,11.7222,0.0000,3.0000,125.4383,-51.1977,position and official-cost prior; manual review,False,True,True
205,Ephron Mason-Clark,MID,74.2406,32.6659,186,241293,Coventry City,a,,,,,1568.7369,11.6538,0.0000,3.1667,125.4383,-51.1977,position and official-cost prior; manual review,True,True,True
206,Victor Torp,MID,74.2406,32.6659,188,226965,Coventry City,a,,,,,1568.7369,11.6538,0.0000,3.1667,125.4383,-51.1977,position and official-cost prior; manual review,True,True,True
207,Hayden Hackney,MID,74.2406,25.2418,247,244860,Everton,a,,,,,1568.7369,11.7906,0.0000,2.8333,125.4383,-51.1977,position and official-cost prior; manual review,False,True,True
208,César Palacios,MID,74.2406,25.2418,570,571779,Fulham,a,,,,,1568.7369,11.5854,0.0000,3.3333,125.4383,-51.1977,position and official-cost prior; manual review,False,True,True
209,Daizen Maeda,MID,74.2406,32.6659,562,442967,Ipswich Town,a,,,,,1568.7369,11.7222,0.0000,3.0000,125.4383,-51.1977,position and official-cost prior; manual review,True,True,True
210,Jefferson Lerma Solís,MID,73.9354,11.8297,213,152551,Crystal Palace,a,,2025-26,69.0000,1722.0000,1737.2000,11.6740,0.9567,3.0000,125.4383,-51.5029,2025/26 empirical-Bayes rate and minutes,False,False,False
211,William Osula,FWD,73.8077,11.8092,465,538207,Newcastle,a,,2025-26,76.0000,805.0000,1013.3000,11.7218,0.4472,2.8333,102.1080,-28.3003,2025/26 empirical-Bayes rate and minutes,False,False,True
212,Mohammed Kudus,MID,73.6026,20.6087,512,460842,Spurs,d,Thigh injury - 75% chance of playing,2025-26,75.0000,1535.0000,1587.6000,10.6530,0.7504,3.0000,125.4383,-51.8357,2025/26 empirical-Bayes rate and minutes,False,False,True
213,Daichi Kamada,MID,73.5629,11.7701,214,209400,Crystal Palace,a,,2025-26,67.0000,1899.0000,1878.8000,11.6152,1.0000,3.0000,125.4383,-51.8754,2025/26 empirical-Bayes rate and minutes,False,False,False
214,Pape Matar Sarr,MID,72.9813,11.6770,518,482442,Spurs,a,,2025-26,71.0000,1388.0000,1470.0000,11.5234,0.7711,3.0000,125.4383,-52.4570,2025/26 empirical-Bayes rate and minutes,False,False,False
215,Saša Lukić,MID,72.6561,11.6250,267,212314,Fulham,a,,2025-26,67.0000,1730.0000,1743.6000,11.3382,0.9611,3.3333,125.4383,-52.7822,2025/26 empirical-Bayes rate and minutes,False,False,False
216,Noni Madueke,MID,72.0545,11.5287,16,248857,Arsenal,a,,2025-26,72.0000,1205.0000,1323.6000,11.3770,0.6694,3.0000,125.4383,-53.3838,2025/26 empirical-Bayes rate and minutes,False,False,False
217,Tim Iroegbunam,MID,71.7061,11.4730,240,490094,Everton,a,,2025-26,68.0000,1477.0000,1541.2000,11.3881,0.8206,2.8333,125.4383,-53.7322,2025/26 empirical-Bayes rate and minutes,False,False,False
218,Xavi Simons,MID,71.6167,20.0527,513,493362,Spurs,i,Knee injury - Unknown return date,2025-26,80.0000,1747.0000,1757.2000,8.9949,0.6794,3.0000,125.4383,-53.8216,2025/26 empirical-Bayes rate and minutes,False,False,True
219,Jaydee Canvot,DEF,71.2636,11.4022,203,651426,Crystal Palace,a,,2025-26,72.0000,1331.0000,1457.4000,11.2522,0.7394,3.0000,115.0131,-43.7495,2025/26 empirical-Bayes rate and minutes,False,False,False
220,Brennan Johnson,MID,71.2172,11.3948,209,242898,Crystal Palace,a,,2025-26,65.0000,1710.0000,1727.6000,11.2448,0.9500,3.0000,125.4383,-54.2211,2025/26 empirical-Bayes rate and minutes,False,False,False
221,Youri Tielemans,MID,71.0565,19.8958,43,166989,Man Utd,d,Hamstring injury - 75% chance of playing,2025-26,68.0000,1857.0000,1845.2000,10.3445,0.8800,2.8333,125.4383,-54.3818,2025/26 empirical-Bayes rate and minutes,False,False,True
222,Tanaka Ao,MID,69.7778,11.1644,345,248056,Leeds,a,,2025-26,67.0000,1307.0000,1405.2000,10.9533,0.7261,3.1667,125.4383,-55.6605,2025/26 empirical-Bayes rate and minutes,False,False,False
223,Ola Aina,DEF,69.5698,11.1312,473,159506,Nott'm Forest,a,,2025-26,67.0000,1587.0000,1662.2000,10.9847,0.8817,3.0000,115.0131,-45.4433,2025/26 empirical-Bayes rate and minutes,False,False,False
224,Amadou Onana,MID,69.3228,19.4104,48,449871,Aston Villa,i,Knee injury - Unknown return date,2025-26,76.0000,1755.0000,1763.6000,8.7068,0.6825,3.0000,125.4383,-56.1155,2025/26 empirical-Bayes rate and minutes,False,False,True
225,Habib Diarra,MID,69.2367,11.0779,543,547027,Sunderland,a,,2025-26,65.0000,1403.0000,1482.0000,10.9321,0.7794,3.0000,125.4383,-56.2016,2025/26 empirical-Bayes rate and minutes,False,False,False
226,Oliver Dovin,GK,69.2255,30.4592,171,484389,Coventry City,a,,,,,1825.1129,10.8666,0.0000,3.1667,119.5420,-50.3165,position and official-cost prior; manual review,True,True,True
227,Dillon Phillips,GK,69.2255,30.4592,273,167825,Hull City,a,,,,,1825.1129,10.8666,0.0000,3.1667,119.5420,-50.3165,position and official-cost prior; manual review,True,True,True
228,Thimothée Lo-Tutala,GK,69.2255,30.4592,276,444307,Hull City,a,,,,,1825.1129,10.8666,0.0000,3.1667,119.5420,-50.3165,position and official-cost prior; manual review,True,True,True
229,Nico González Iglesias,MID,69.0106,11.0417,405,465694,Man City,a,,2025-26,63.0000,1561.0000,1608.4000,10.8964,0.8672,3.0000,125.4383,-56.4277,2025/26 empirical-Bayes rate and minutes,False,False,False
230,Abdukodir Khusanov,DEF,68.6276,10.9804,393,578153,Man City,a,,2025-26,67.0000,1427.0000,1534.2000,10.8359,0.7928,3.0000,115.0131,-46.3855,2025/26 empirical-Bayes rate and minutes,False,False,False
231,Rayan Vitor Simplício Rocha,MID,68.0237,10.8838,67,499604,Bournemouth,a,,2025-26,67.0000,1110.0000,1247.6000,10.4900,0.6167,3.6667,125.4383,-57.4146,2025/26 empirical-Bayes rate and minutes,False,False,False
232,Pau Torres,DEF,68.0095,10.8815,34,244954,Aston Villa,a,,2025-26,64.0000,1673.0000,1731.0000,10.7383,0.9294,3.0000,115.0131,-47.0036,2025/26 empirical-Bayes rate and minutes,False,False,False
233,Antonee Robinson,DEF,67.6700,10.8272,254,169528,Fulham,a,,2025-26,65.0000,1487.0000,1582.2000,10.5601,0.8261,3.3333,115.0131,-47.3431,2025/26 empirical-Bayes rate and minutes,False,False,False
234,Amine Adli,MID,67.6654,10.8265,77,489888,Bournemouth,a,,2025-26,67.0000,1074.0000,1218.8000,10.4347,0.5967,3.6667,125.4383,-57.7729,2025/26 empirical-Bayes rate and minutes,False,False,False
235,Jacob Ramsey,MID,67.5719,10.8115,456,232653,Newcastle,a,,2025-26,62.0000,1441.0000,1512.4000,10.7315,0.8006,2.8333,125.4383,-57.8664,2025/26 empirical-Bayes rate and minutes,False,False,False
236,Brandon Thomas-Asante,FWD,67.1497,29.5459,194,230730,Coventry City,a,,,,,1254.0812,10.5407,0.0000,3.1667,102.1080,-34.9583,position and official-cost prior; manual review,True,True,True
237,Jahnoah Markelo,FWD,67.1497,29.5459,196,551262,Coventry City,a,,,,,1254.0812,10.5407,0.0000,3.1667,102.1080,-34.9583,position and official-cost prior; manual review,True,True,True
238,Mikel Merino Zazón,MID,67.1454,10.7433,17,195384,Arsenal,a,,2025-26,67.0000,1024.0000,1178.8000,10.6019,0.5689,3.0000,125.4383,-58.2929,2025/26 empirical-Bayes rate and minutes,False,False,False
239,Archie Gray,MID,67.1277,10.7404,522,547701,Spurs,a,,2025-26,61.0000,1471.0000,1536.4000,10.5991,0.8172,3.0000,125.4383,-58.3107,2025/26 empirical-Bayes rate and minutes,False,False,False
240,Josh King,MID,67.0971,10.7355,268,577725,Fulham,a,,2025-26,63.0000,1290.0000,1391.6000,10.4707,0.7167,3.3333,125.4383,-58.3412,2025/26 empirical-Bayes rate and minutes,False,False,False
241,Wesley Fofana,DEF,66.8384,18.7147,145,444463,Chelsea,s,Suspended until 6 Sep,2025-26,65.0000,1718.0000,1767.0000,8.4863,0.7445,3.0000,115.0131,-48.1747,2025/26 empirical-Bayes rate and minutes,False,False,True
242,Timothy Castagne,DEF,66.7434,10.6789,258,166477,Fulham,a,,2025-26,61.0000,1838.0000,1863.0000,10.4155,1.0000,3.3333,115.0131,-48.2697,2025/26 empirical-Bayes rate and minutes,False,False,False
243,Boubacar Kamara,MID,66.7118,10.6739,47,226944,Aston Villa,a,,2025-26,61.0000,1410.0000,1487.6000,10.5334,0.7833,3.0000,125.4383,-58.7265,2025/26 empirical-Bayes rate and minutes,False,False,False
244,Kevin Danso,DEF,66.3558,10.6169,501,135720,Spurs,a,,2025-26,63.0000,1489.0000,1583.8000,10.4772,0.8272,3.0000,115.0131,-48.6573,2025/26 empirical-Bayes rate and minutes,False,False,False
245,Lewis Miley,MID,65.4859,18.3360,459,547719,Newcastle,i,Leg injury - Expected back 30 Aug,2025-26,72.0000,1493.0000,1554.0000,8.2729,0.5806,2.8333,125.4383,-59.9524,2025/26 empirical-Bayes rate and minutes,False,False,True
246,Carlos Baleba,MID,64.9178,10.3868,131,535301,Brighton,a,,2025-26,56.0000,1646.0000,1676.4000,10.2502,0.9144,3.0000,125.4383,-60.5205,2025/26 empirical-Bayes rate and minutes,False,False,False
247,Emmanuel Emegha,FWD,64.4637,29.6533,170,503037,Chelsea,d,Hamstring injury - 75% chance of playing,,,,1254.0812,9.3303,0.0000,3.0000,102.1080,-37.6443,position and official-cost prior; manual review,False,True,True
248,Loum Tchaouna,MID,64.3153,16.7220,190,469272,Coventry City,a,,2025-26,59.0000,1259.0000,1366.8000,10.0958,0.6994,3.1667,125.4383,-61.1230,2025/26 empirical-Bayes rate and minutes,True,False,True
249,Rodrigo 'Rodri' Hernandez Cascante,MID,63.8758,17.8852,402,220566,Man City,i,Back injury - Unknown return date,2025-26,69.0000,1510.0000,1567.6000,8.0227,0.5872,3.0000,125.4383,-61.5625,2025/26 empirical-Bayes rate and minutes,False,False,True
250,David Brooks,MID,63.7386,10.1982,74,111317,Bournemouth,a,,2025-26,59.0000,1188.0000,1310.0000,9.8292,0.6600,3.6667,125.4383,-61.6997,2025/26 empirical-Bayes rate and minutes,False,False,False
251,Jannik Schuster,DEF,63.6322,21.6350,93,513086,Brentford,a,,,,,1544.0156,9.9886,0.0000,3.1667,115.0131,-51.3809,position and official-cost prior; manual review,False,True,True
252,João Pedro Loureiro da Costa,DEF,63.6322,21.6350,119,451490,Brighton,a,,,,,1544.0156,10.0472,0.0000,3.0000,115.0131,-51.3809,position and official-cost prior; manual review,False,True,True
253,Oscar Mingueza,DEF,63.6322,21.6350,207,242313,Crystal Palace,a,,,,,1544.0156,10.0472,0.0000,3.0000,115.0131,-51.3809,position and official-cost prior; manual review,False,True,True
254,Thomas Meunier,DEF,63.6322,21.6350,541,93605,Sunderland,a,,,,,1544.0156,10.0472,0.0000,3.0000,115.0131,-51.3809,position and official-cost prior; manual review,False,True,True
255,Jeremie Frimpong,DEF,63.1112,10.0978,357,216094,Liverpool,a,,2025-26,63.0000,1032.0000,1218.2000,10.0231,0.5733,2.8333,115.0131,-51.9019,2025/26 empirical-Bayes rate and minutes,False,False,False
256,Leny Yoro,DEF,62.8842,10.0615,420,550864,Man Utd,a,,2025-26,56.0000,1730.0000,1776.6000,9.9870,0.9611,2.8333,115.0131,-52.1289,2025/26 empirical-Bayes rate and minutes,False,False,False
257,Ilia Gruev,MID,62.8539,10.0566,344,486520,Leeds,a,,2025-26,56.0000,1318.0000,1414.0000,9.8664,0.7322,3.1667,125.4383,-62.5844,2025/26 empirical-Bayes rate and minutes,False,False,False
258,Alejandro Garnacho Ferreyra,MID,62.4313,10.0000,160,493105,Aston Villa,a,,2025-26,56.0000,1261.0000,1368.4000,9.8576,0.7006,3.0000,125.4383,-63.0070,2025/26 empirical-Bayes rate and minutes,False,False,False
259,Mason Mount,MID,61.4931,10.0000,430,184341,Man Utd,a,,2025-26,58.0000,1010.0000,1167.6000,9.7661,0.5611,2.8333,125.4383,-63.9452,2025/26 empirical-Bayes rate and minutes,False,False,False
260,Gabriel Martinelli Silva,MID,61.4078,10.0000,18,444145,Arsenal,a,,2025-26,57.0000,1065.0000,1211.6000,9.6960,0.5917,3.0000,125.4383,-64.0305,2025/26 empirical-Bayes rate and minutes,False,False,False
261,Mitoma Kaoru,MID,60.9432,17.0641,121,451340,Brighton,i,Hamstring injury - Unknown return date,2025-26,62.0000,1714.0000,1730.8000,7.6543,0.6666,3.0000,125.4383,-64.4952,2025/26 empirical-Bayes rate and minutes,False,False,True
262,Ian Maatsen,DEF,60.8956,10.0000,36,441302,Aston Villa,a,,2025-26,54.0000,1590.0000,1664.6000,9.6151,0.8833,3.0000,115.0131,-54.1175,2025/26 empirical-Bayes rate and minutes,False,False,False
263,Rayan Aït-Nouri,DEF,60.6831,10.0000,392,448514,Man City,a,,2025-26,60.0000,971.0000,1169.4000,9.5815,0.5394,3.0000,115.0131,-54.3299,2025/26 empirical-Bayes rate and minutes,False,False,False
264,Omar Marmoush,FWD,60.3859,10.0000,401,438234,Man City,a,,2025-26,56.0000,691.0000,922.1000,9.5346,0.3839,3.0000,102.1080,-41.7221,2025/26 empirical-Bayes rate and minutes,False,False,True
265,Adam Smith,DEF,60.2934,10.0000,64,54469,Bournemouth,a,,2025-26,58.0000,1073.0000,1251.0000,9.2979,0.5961,3.6667,115.0131,-54.7197,2025/26 empirical-Bayes rate and minutes,False,False,False
266,Tino Livramento,DEF,60.2301,16.8644,450,441191,Newcastle,d,Calf injury - 75% chance of playing,2025-26,59.0000,1326.0000,1453.4000,8.7684,0.6483,2.8333,115.0131,-54.7830,2025/26 empirical-Bayes rate and minutes,False,False,True
267,Sean Longstaff,MID,60.2021,10.0000,339,180135,Leeds,a,,2025-26,56.0000,1003.0000,1162.0000,9.4501,0.5572,3.1667,125.4383,-65.2362,2025/26 empirical-Bayes rate and minutes,False,False,False
268,Zadok Yohanna,MID,59.9564,20.3852,135,700308,Brighton,a,,,,,1266.9040,9.4668,0.0000,3.0000,125.4383,-65.4819,position and official-cost prior; manual review,False,True,True
269,Matt Grimes,MID,59.9564,26.3808,184,168144,Coventry City,a,,,,,1266.9040,9.4116,0.0000,3.1667,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
270,Tatsuhiro Sakamoto,MID,59.9564,26.3808,185,501459,Coventry City,a,,,,,1266.9040,9.4116,0.0000,3.1667,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
271,Josh Eccles,MID,59.9564,26.3808,187,439668,Coventry City,a,,,,,1266.9040,9.4116,0.0000,3.1667,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
272,Mohamed Belloumi,MID,59.9564,26.3808,286,540324,Hull City,a,,,,,1266.9040,9.4116,0.0000,3.1667,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
273,Liam Millar,MID,59.9564,26.3808,287,232905,Hull City,a,,,,,1266.9040,9.4116,0.0000,3.1667,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
274,Abdülkadir Ömür,MID,59.9564,26.3808,292,208481,Hull City,a,,,,,1266.9040,9.4116,0.0000,3.1667,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
275,David Akintola,MID,59.9564,26.3808,296,213292,Hull City,a,,,,,1266.9040,9.4116,0.0000,3.1667,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
276,Hidemasa Morita,MID,59.9564,26.3808,563,445028,Hull City,a,,,,,1266.9040,9.4116,0.0000,3.1667,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
277,Marcelino Núñez,MID,59.9564,26.3808,309,501390,Ipswich Town,a,,,,,1266.9040,9.4668,0.0000,3.0000,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
278,Anis Mehmeti,MID,59.9564,26.3808,324,232457,Ipswich Town,a,,,,,1266.9040,9.4668,0.0000,3.0000,125.4383,-65.4819,position and official-cost prior; manual review,True,True,True
279,Sean Steur,MID,59.9564,20.3852,462,636852,Newcastle,a,,,,,1266.9040,9.5220,0.0000,2.8333,125.4383,-65.4819,position and official-cost prior; manual review,False,True,True
280,Aladji Bamba,MID,59.9564,20.3852,559,632794,Newcastle,a,,,,,1266.9040,9.5220,0.0000,2.8333,125.4383,-65.4819,position and official-cost prior; manual review,False,True,True
281,Xaver Schlager,MID,59.9564,20.3852,558,204561,Nott'm Forest,a,,,,,1266.9040,9.4668,0.0000,3.0000,125.4383,-65.4819,position and official-cost prior; manual review,False,True,True
282,Dwight McNeil,MID,59.7581,10.0000,241,433154,Everton,a,,2025-26,53.0000,1161.0000,1288.4000,9.4905,0.6450,2.8333,125.4383,-65.6802,2025/26 empirical-Bayes rate and minutes,False,False,False
283,Estêvão Almeida de Oliveira Gonçalves,MID,59.6267,10.0000,157,624773,Chelsea,a,,2025-26,58.0000,839.0000,1030.8000,9.4147,0.4661,3.0000,125.4383,-65.8116,2025/26 empirical-Bayes rate and minutes,False,False,True
284,Andrew Robertson,DEF,59.0720,10.0000,502,122798,Spurs,a,,2025-26,55.0000,1165.0000,1324.6000,9.3272,0.6472,3.0000,115.0131,-55.9411,2025/26 empirical-Bayes rate and minutes,False,False,False
285,Enis Destan,FWD,58.9104,25.9206,298,500957,Hull City,a,,,,,1100.2063,9.2474,0.0000,3.1667,102.1080,-43.1975,position and official-cost prior; manual review,True,True,True
286,Sindre Walle Egeli,FWD,58.9104,25.9206,321,557012,Ipswich Town,a,,,,,1100.2063,9.3016,0.0000,3.0000,102.1080,-43.1975,position and official-cost prior; manual review,True,True,True
287,Felipe Rodrigues da Silva,DEF,58.9050,10.0000,470,485047,Nott'm Forest,a,,2025-26,53.0000,1340.0000,1464.6000,9.3008,0.7444,3.0000,115.0131,-56.1081,2025/26 empirical-Bayes rate and minutes,False,False,False
288,Ross Barkley,MID,58.4998,10.0000,46,88894,Aston Villa,a,,2025-26,56.0000,844.0000,1034.8000,9.2368,0.4689,3.0000,125.4383,-66.9385,2025/26 empirical-Bayes rate and minutes,False,False,True
289,Liam Delap,FWD,58.1458,10.0000,167,463034,Chelsea,a,,2025-26,45.0000,1092.0000,1242.9000,9.1809,0.6067,3.0000,102.1080,-43.9622,2025/26 empirical-Bayes rate and minutes,False,False,False
290,Rico Henry,DEF,58.1457,10.0000,89,194010,Brentford,a,,2025-26,52.0000,1322.0000,1450.2000,9.1273,0.7344,3.1667,115.0131,-56.8674,2025/26 empirical-Bayes rate and minutes,False,False,False
291,Dan Ndoye,MID,57.9297,10.0000,483,456512,Nott'm Forest,a,,2025-26,50.0000,1167.0000,1293.2000,9.1468,0.6483,3.0000,125.4383,-67.5086,2025/26 empirical-Bayes rate and minutes,False,False,False
292,Anthony Elanga,MID,57.6468,10.0000,454,449434,Newcastle,a,,2025-26,48.0000,1302.0000,1401.2000,9.1552,0.7233,2.8333,125.4383,-67.7915,2025/26 empirical-Bayes rate and minutes,False,False,False
293,Jack Rudoni,MID,57.5581,32.2325,183,480457,Coventry City,d,Shoulder injury - 75% chance of playing,,,,1266.9040,8.2822,0.0000,3.1667,125.4383,-67.8802,position and official-cost prior; manual review,True,True,True
