name,position,projected_points,uncertainty,player_id,code,team_name,status,prior_total_points,prior_minutes,fixture_difficulty_next6,projection_method
Pape Matar Sarr,MID,73.400,11.010,518,482442,Spurs,a,71.000,1388.000,3.000,prior-season points with positional shrinkage
Gabriel Gudmundsson,DEF,72.911,10.937,331,243526,Leeds,a,68.000,2637.000,3.167,prior-season points with positional shrinkage
Abdukodir Khusanov,DEF,72.600,10.890,393,578153,Man City,a,67.000,1427.000,3.000,prior-season points with positional shrinkage
Ola Aina,DEF,72.600,10.890,473,159506,Nott'm Forest,a,67.000,1587.000,3.000,prior-season points with positional shrinkage
George Hirst,FWD,72.150,28.860,317,222625,Ipswich Town,a,,,3.000,position prior for new player
Ali Al-Hamadi,FWD,72.150,28.860,322,462387,Ipswich Town,a,,,3.000,position prior for new player
Chuba Akpom,FWD,72.150,28.860,320,147675,Ipswich Town,a,,,3.000,position prior for new player
Emersonn Correia da Silva,FWD,72.150,28.860,316,543968,Ipswich Town,a,,,3.000,position prior for new player
Sindre Walle Egeli,FWD,72.150,28.860,321,557012,Ipswich Town,a,,,3.000,position prior for new player
Mohammed Kudus,MID,72.004,16.561,512,460842,Spurs,d,75.000,1535.000,3.000,prior-season points with positional shrinkage
Jefferson Lerma Solís,MID,71.800,10.770,213,152551,Crystal Palace,a,69.000,1722.000,3.000,prior-season points with positional shrinkage
Ellis Simms,FWD,71.669,28.668,195,218997,Coventry City,a,,,3.167,position prior for new player
Jahnoah Markelo,FWD,71.669,28.668,196,551262,Coventry City,a,,,3.167,position prior for new player
Haji Wright,FWD,71.669,28.668,193,176412,Coventry City,a,,,3.167,position prior for new player
Mason Burstow,FWD,71.669,28.668,299,534392,Hull City,a,,,3.167,position prior for new player
Brandon Thomas-Asante,FWD,71.669,28.668,194,230730,Coventry City,a,,,3.167,position prior for new player
Enis Destan,FWD,71.669,28.668,298,500957,Hull City,a,,,3.167,position prior for new player
Oli McBurnie,FWD,71.669,28.668,295,169432,Hull City,a,,,3.167,position prior for new player
Tim Iroegbunam,MID,71.473,10.721,240,490094,Everton,a,68.000,1477.000,2.833,prior-season points with positional shrinkage
Joelinton Cássio Apolinário de Lira,MID,70.970,16.323,458,180974,Newcastle,d,73.000,1950.000,2.833,prior-season points with positional shrinkage
Xavi Simons,MID,70.928,16.313,513,493362,Spurs,i,80.000,1747.000,3.000,prior-season points with positional shrinkage
Álvaro Rodríguez,FWD,70.226,28.090,81,561245,Bournemouth,a,,,3.667,position prior for new player
Pau Torres,DEF,70.200,10.530,34,244954,Aston Villa,a,64.000,1673.000,3.000,prior-season points with positional shrinkage
Daichi Kamada,MID,70.200,10.530,214,209400,Crystal Palace,a,67.000,1899.000,3.000,prior-season points with positional shrinkage
Mikel Merino Zazón,MID,70.200,10.530,17,195384,Arsenal,a,67.000,1024.000,3.000,prior-season points with positional shrinkage
Antonee Robinson,DEF,70.053,10.508,254,169528,Fulham,a,65.000,1487.000,3.333,prior-season points with positional shrinkage
Jeremie Frimpong,DEF,69.863,10.479,357,216094,Liverpool,a,63.000,1032.000,2.833,prior-season points with positional shrinkage
Tanaka Ao,MID,69.732,10.460,345,248056,Leeds,a,67.000,1307.000,3.167,prior-season points with positional shrinkage
Kevin Danso,DEF,69.400,10.410,501,135720,Spurs,a,63.000,1489.000,3.000,prior-season points with positional shrinkage
Saša Lukić,MID,69.264,10.390,267,212314,Fulham,a,67.000,1730.000,3.333,prior-season points with positional shrinkage
Vitezslav Jaros,GK,69.098,33.167,354,432987,Liverpool,i,,,2.833,position prior for new player
Habib Diarra,MID,68.600,10.290,543,547027,Sunderland,a,65.000,1403.000,3.000,prior-season points with positional shrinkage
